PlantNo,Width,Age,Temperature,Rain expected in 2 weeks,SoilType,WhiteRoots,PestAttacks,FloweringSeason,Result
No1,25,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No2,19,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No3,22,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No4,20,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No5,18,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No6,19,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No7,25,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No8,23,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No9,25,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No10,22,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No11,22,8,29,No,Red-Yellow,No,No,No,Ready for inoculation
No12,18,5,30,No,Red-Yellow,No,No,No,Ready for inoculation
No13,24,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No14,18,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No15,21,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No16,18,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No17,22,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No18,24,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No19,18,8,29,No,Red-Yellow,No,No,No,Ready for inoculation
No20,18,5,30,No,Red-Yellow,No,No,No,Ready for inoculation
No21,20,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No22,21,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No23,20,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No24,22,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No25,23,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No26,22,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No27,20,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No28,22,5,30,No,Red-Yellow,No,No,No,Ready for inoculation
No29,23,5,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No30,21,6,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No31,21,6,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No32,23,7,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No33,19,8,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No34,23,5,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No35,23,8,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No36,18,8,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No37,24,7,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No38,18,5,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No39,19,8,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No40,19,8,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No41,21,8,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No42,24,7,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No43,21,6,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No44,24,5,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No45,19,5,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No46,18,6,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No47,25,5,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No48,18,5,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No49,21,8,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No50,20,7,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No51,23,5,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No52,18,7,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No53,20,5,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No54,18,6,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No55,23,8,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No56,25,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No57,20,6,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No58,24,7,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No59,19,6,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No60,25,7,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No61,23,7,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No62,25,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No63,23,7,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No64,21,7,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No65,25,7,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No66,24,6,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No67,20,6,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No68,25,7,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No69,18,7,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No70,20,6,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No71,18,5,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No72,21,7,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No73,18,6,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No74,24,6,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No75,22,5,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No76,22,7,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No77,19,7,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No78,24,8,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No79,23,8,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No80,18,7,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No81,22,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No82,19,7,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No83,21,5,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No84,20,6,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No85,24,7,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No86,22,6,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No87,18,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No88,20,7,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No89,21,8,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No90,22,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No91,18,5,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No92,23,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No93,24,5,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No94,20,8,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No95,25,7,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No96,21,6,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No97,19,7,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No98,21,8,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No99,25,8,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No100,22,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No101,25,8,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No102,22,7,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No103,25,6,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No104,19,6,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No105,20,6,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No106,18,7,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No107,18,6,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No108,25,8,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No109,21,5,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No110,23,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No111,21,8,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No112,23,6,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No113,21,5,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No114,24,6,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No115,20,7,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No116,22,7,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No117,22,8,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No118,24,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No119,22,8,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No120,19,6,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No121,19,7,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No122,19,6,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No123,21,6,29,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No124,22,5,31,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No125,23,6,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No126,24,5,30,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No127,23,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No128,21,8,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No129,23,5,28,No,Reddish-Brown,No,No,Yes,Ready for inoculation
No130,21,5,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No131,18,5,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No132,23,7,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No133,23,8,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
